id,date,recovered,confirmed_cases,deaths,country
1,2020-01-22,0,1,0,US
2,2020-01-23,0,1,0,US
3,2020-01-24,0,2,0,US
4,2020-01-25,0,3,0,US
5,2020-01-26,0,5,0,US
6,2020-01-27,0,5,0,US
7,2020-01-28,0,5,0,US
8,2020-01-29,0,5,0,US
9,2020-01-30,0,6,0,US
10,2020-01-31,0,7,0,US
11,2020-02-01,0,8,0,US
12,2020-02-02,0,11,0,US
13,2020-02-03,0,11,0,US
14,2020-02-04,0,11,0,US
15,2020-02-05,0,12,0,US
16,2020-02-06,0,12,0,US
17,2020-02-07,0,12,0,US
18,2020-02-08,0,12,0,US
19,2020-02-09,3,12,0,US
20,2020-02-10,3,13,0,US
21,2020-02-11,3,13,0,US
22,2020-02-12,3,14,0,US
23,2020-02-13,3,15,0,US
24,2020-02-14,3,15,0,US
25,2020-02-15,3,15,0,US
26,2020-02-16,3,15,0,US
27,2020-02-17,3,25,0,US
28,2020-02-18,3,25,0,US
29,2020-02-19,3,25,0,US
30,2020-02-20,3,27,0,US
31,2020-02-21,5,30,0,US
32,2020-02-22,5,30,0,US
33,2020-02-23,5,30,0,US
34,2020-02-24,5,43,0,US
35,2020-02-25,6,45,0,US
36,2020-02-26,6,60,0,US
37,2020-02-27,6,60,0,US
38,2020-02-28,7,65,0,US
39,2020-02-29,7,70,1,US
40,2020-03-01,7,88,3,US
41,2020-03-02,7,104,6,US
42,2020-03-03,7,125,10,US
43,2020-03-04,7,161,12,US
44,2020-03-05,7,228,12,US
45,2020-03-06,7,311,15,US
46,2020-03-07,7,428,19,US
47,2020-03-08,7,547,22,US
48,2020-03-09,7,748,26,US
49,2020-03-10,8,1018,31,US
50,2020-03-11,8,1263,37,US
51,2020-03-12,12,1668,43,US
52,2020-03-13,12,2224,50,US
53,2020-03-14,12,2898,60,US
54,2020-03-15,12,3600,68,US
55,2020-03-16,17,4507,91,US
56,2020-03-17,17,5906,117,US
57,2020-03-18,105,8350,162,US
58,2020-03-19,121,12393,212,US
59,2020-03-20,147,18012,277,US
60,2020-03-21,176,24528,360,US
61,2020-03-22,178,33073,458,US
62,2020-03-23,178,43505,579,US
63,2020-03-24,348,53938,785,US
64,2020-03-25,361,68572,1054,US
65,2020-03-26,681,85570,1353,US
66,2020-03-27,869,102900,1770,US
67,2020-03-28,1072,123966,2300,US
68,2020-03-29,2665,142486,2718,US
69,2020-03-30,5644,163955,3368,US
70,2020-03-31,7024,188461,4304,US
71,2020-04-01,8474,215391,5325,US
72,2020-04-02,9001,245108,6541,US
73,2020-04-03,9707,277426,7932,US
74,2020-04-04,14652,312525,9488,US
75,2020-04-05,17448,338141,10856,US
76,2020-04-06,19581,369057,12382,US
77,2020-04-07,21763,399394,14616,US
78,2020-04-08,23559,431214,16701,US
79,2020-04-09,25410,465913,18821,US
80,2020-04-10,28790,499386,21084,US
81,2020-04-11,31270,531106,23168,US
82,2020-04-12,32988,558249,24849,US
83,2020-04-13,43482,584018,26613,US
84,2020-04-14,47763,610709,29318,US
85,2020-04-15,52096,640742,32070,US
86,2020-04-16,54703,672355,34418,US
87,2020-04-17,58545,703864,36707,US
88,2020-04-18,64840,732262,38659,US
89,2020-04-19,70337,757596,40179,US
90,2020-04-20,72329,784991,42016,US
91,2020-04-21,75204,810505,44688,US
92,2020-04-22,77366,839336,47059,US
93,2020-04-23,80203,873112,49228,US
94,2020-04-24,99079,909853,51360,US
95,2020-04-25,100372,944261,53326,US
96,2020-04-26,106988,970996,54580,US
97,2020-04-27,111424,994193,56022,US
98,2020-04-28,115936,1018846,58416,US
99,2020-04-29,120720,1045401,60930,US
100,2020-04-30,153947,1075758,63140,US
101,2020-05-01,164015,1109728,64902,US
102,2020-05-02,175382,1139202,66485,US
103,2020-05-03,180152,1165342,67816,US
104,2020-05-04,187180,1187304,68905,US
105,2020-05-05,189791,1211011,71139,US
106,2020-05-06,189910,1235519,73847,US
107,2020-05-07,195036,1263995,75805,US
108,2020-05-08,198993,1291643,77380,US
109,2020-05-09,212534,1316511,78834,US
110,2020-05-10,216169,1336828,79765,US
111,2020-05-11,232733,1354449,80747,US
112,2020-05-12,230287,1376749,82400,US
113,2020-05-13,243430,1397894,84168,US
114,2020-05-14,246414,1424856,85906,US
115,2020-05-15,250747,1451093,87499,US
116,2020-05-16,268376,1474752,88724,US
117,2020-05-17,272265,1493766,89568,US
118,2020-05-18,283178,1515593,90414,US
119,2020-05-19,289392,1536570,91934,US
120,2020-05-20,294312,1559640,93411,US
121,2020-05-21,298418,1585373,94722,US
122,2020-05-22,350135,1609172,96010,US
123,2020-05-23,361239,1631440,97060,US
124,2020-05-24,366736,1651471,97680,US
125,2020-05-25,379157,1670571,98190,US
126,2020-05-26,384902,1689467,98937,US
127,2020-05-27,391508,1708211,100422,US
128,2020-05-28,399991,1730723,101622,US
129,2020-05-29,406446,1755271,102812,US
130,2020-05-30,416461,1778668,103775,US
131,2020-05-31,444758,1799302,104379,US
132,2020-06-01,458231,1821199,105113,US
133,2020-06-02,463868,1841990,106195,US
134,2020-06-03,479258,1861977,107184,US
135,2020-06-04,485002,1883593,108192,US
136,2020-06-05,491706,1912302,109304,US
137,2020-06-06,500849,1934818,110032,US
138,2020-06-07,506367,1953434,110422,US
139,2020-06-08,518522,1971641,111144,US
140,2020-06-09,524855,1990446,112174,US
141,2020-06-10,533504,2013298,113103,US
142,2020-06-11,540292,2036500,113980,US
143,2020-06-12,547386,2061993,114759,US
144,2020-06-13,556606,2087327,115451,US
145,2020-06-14,561816,2106457,115768,US
146,2020-06-15,576334,2126574,116216,US
147,2020-06-16,583503,2151459,116985,US
148,2020-06-17,592191,2177114,117746,US
149,2020-06-18,599115,2205173,118473,US
150,2020-06-19,606715,2236009,119171,US
151,2020-06-20,617460,2268034,119717,US
152,2020-06-21,622133,2294413,119974,US
153,2020-06-22,640198,2324879,120334,US
154,2020-06-23,647548,2359939,121167,US
155,2020-06-24,656161,2396928,121934,US
156,2020-06-25,663562,2438101,124400,US
157,2020-06-26,670809,2483629,125033,US
158,2020-06-27,679308,2525928,125544,US
159,2020-06-28,685164,2565436,125815,US
160,2020-06-29,705203,2604932,126162,US
161,2020-06-30,720631,2653321,127462,US
162,2020-07-01,729994,2703296,128104,US
163,2020-07-02,781970,2758855,128827,US
164,2020-07-03,790404,2816009,129418,US
165,2020-07-04,894325,2866015,129679,US
166,2020-07-05,906763,2910782,129941,US
167,2020-07-06,924148,2958098,130332,US
168,2020-07-07,936476,3012182,131290,US
169,2020-07-08,953462,3071637,132238,US
170,2020-07-09,969111,3131526,133079,US
171,2020-07-10,983185,3199753,133907,US
172,2020-07-11,995576,3260474,134582,US
173,2020-07-12,1006326,3318279,134977,US
174,2020-07-13,1031939,3379846,135402,US
175,2020-07-14,1049098,3445448,136356,US
176,2020-07-15,1075882,3513790,137327,US
177,2020-07-16,1090645,3589477,138285,US
178,2020-07-17,1107204,3660400,139186,US
179,2020-07-18,1122720,3722851,139961,US
180,2020-07-19,1131121,3785126,140373,US
181,2020-07-20,1160087,3845014,140904,US
182,2020-07-21,1182018,3910291,142031,US
183,2020-07-22,1210849,3980030,143167,US
184,2020-07-23,1233269,4050036,144283,US
185,2020-07-24,1261624,4123561,145429,US
186,2020-07-25,1279414,4190337,146313,US
187,2020-07-26,1297863,4244554,146753,US
188,2020-07-27,1325804,4303735,148449,US
189,2020-07-28,1355363,4366851,149776,US
190,2020-07-29,1389425,4433633,151172,US
191,2020-07-30,1414155,4502581,152433,US
192,2020-07-31,1438160,4571669,153862,US
193,2020-08-01,1461885,4628497,154917,US
194,2020-08-02,1468689,4679291,155337,US
195,2020-08-03,1513446,4726775,155945,US
196,2020-08-04,1528979,4780324,157301,US
197,2020-08-05,1577851,4834047,158554,US
198,2020-08-06,1598624,4891561,159625,US
199,2020-08-07,1623870,4952718,160981,US
200,2020-08-08,1643118,5007958,161947,US
201,2020-08-09,1656864,5056438,162486,US
202,2020-08-10,1670755,5103611,163023,US
203,2020-08-11,1714960,5156968,164474,US
204,2020-08-12,1753760,5211246,165952,US
205,2020-08-13,1774648,5265307,167165,US
206,2020-08-14,1796326,5324784,168341,US
207,2020-08-15,1818527,5375527,169400,US
208,2020-08-16,1833067,5417664,169915,US
209,2020-08-17,1865580,5455187,170449,US
210,2020-08-18,1898159,5498420,171798,US
211,2020-08-19,1925049,5541433,173093,US
212,2020-08-20,1947035,5587475,174136,US
213,2020-08-21,1965056,5636491,175297,US
214,2020-08-22,1985484,5681517,176247,US
215,2020-08-23,1997761,5713850,176693,US
216,2020-08-24,2020774,5754254,177197,US
217,2020-08-25,2053699,5793385,178410,US
218,2020-08-26,2084465,5838532,179603,US
219,2020-08-27,2101326,5884368,180729,US
220,2020-08-28,2118367,5930932,181739,US
221,2020-08-29,2140614,5975541,182610,US
222,2020-08-30,2153939,6008970,182984,US
223,2020-08-31,2184825,6045457,183472,US
224,2020-09-01,2202663,6089506,184563,US
225,2020-09-02,2231757,6121950,185639,US
226,2020-09-03,2266957,6168347,186717,US
227,2020-09-04,2283454,6220448,187697,US
228,2020-09-05,2302187,6262701,188409,US
229,2020-09-06,2315995,6292699,188820,US
230,2020-09-07,2333551,6317865,189083,US
231,2020-09-08,2359111,6346807,189541,US
232,2020-09-09,2387479,6380139,190716,US
233,2020-09-10,2403511,6418200,191631,US
234,2020-09-11,2417878,6465767,192858,US
